age;gender;height_cm;weight_kg;body fat_%;diastolic;systolic;gripForce;sit and bend forward_cm;sit-ups counts;broad jump_cm;class
63.0;M;164.7;73.8;36.7;81.0;141.0;35.6;9.0;22.0;135.0;D
26.0;M;183.4;83.6;14.1;79.0;145.0;50.6;16.0;51.0;231.0;A
32.0;M;170.8;72.2;24.1;80.0;127.0;47.4;16.6;60.0;205.0;B
22.0;F;167.0;50.3;18.9;77.0;120.0;27.9;23.3;39.0;168.0;A
21.0;M;175.0;84.7;28.0;61.0;133.0;50.9;11.6;42.0;156.0;D
21.0;M;178.9;75.5;17.2;81.0;138.0;40.8;15.4;55.0;213.0;B
54.0;F;148.0;53.4;27.9;97.0;159.0;27.9;23.0;35.0;145.0;A
21.0;M;179.0;82.8;15.4;67.0;122.0;58.9;19.9;56.0;278.0;B
24.0;M;163.9;64.8;23.6;94.0;141.0;39.7;13.2;47.0;224.0;C
31.0;M;178.0;84.66;18.9;75.0;129.0;59.2;15.1;47.0;196.0;A
27.0;M;180.9;77.1;19.9;76.0;156.0;40.9;22.0;52.0;209.0;B
22.0;F;163.8;54.2;28.4;96.0;151.0;23.6;19.4;41.0;155.0;B
61.0;F;152.6;56.4;37.6;93.0;136.0;28.9;20.2;4.0;125.0;D
60.0;M;171.9;60.9;16.7;78.0;128.0;33.6;10.9;28.0;190.0;B
41.0;F;160.0;50.0;20.6;62.0;106.0;27.4;22.6;38.0;178.0;A
59.0;M;166.1;67.8;25.9;98.0;151.0;40.6;22.4;34.0;188.0;B
51.0;M;174.5;71.2;21.2;92.0;136.0;40.7;13.0;41.0;203.0;C
34.0;M;181.1;70.5;19.4;70.0;131.0;34.1;12.7;40.0;217.0;C
22.0;F;169.2;53.2;16.0;66.0;103.0;30.0;27.1;54.0;202.0;A
22.0;F;162.1;55.1;23.2;61.0;99.0;28.5;23.1;43.0;198.0;A
23.0;F;161.8;47.8;17.2;66.0;103.0;25.2;21.5;47.0;178.0;A
27.0;F;152.3;55.5;37.5;81.0;126.0;16.6;16.1;37.0;113.0;D
25.0;F;160.9;63.7;36.1;99.0;144.0;26.4;23.6;37.0;179.0;B
37.0;F;149.5;38.1;17.3;66.0;110.0;16.2;23.0;35.0;167.0;A
21.0;M;170.0;50.1;16.3;67.0;124.0;28.5;6.4;44.0;210.0;C
31.0;M;174.0;67.6;15.6;82.0;140.0;39.3;5.1;38.0;225.0;C
49.0;M;176.2;73.3;22.2;88.0;147.0;45.0;9.9;33.0;223.0;C
27.0;M;182.5;81.0;17.8;66.0;115.0;42.0;9.1;44.0;233.0;C
49.0;F;155.9;57.0;23.3;67.0;104.0;25.1;17.5;25.0;110.0;C
36.0;F;156.6;55.0;26.6;80.0;124.0;30.1;12.5;24.0;149.0;C
33.0;M;179.2;76.3;23.8;85.0;126.0;32.0;8.7;36.0;188.0;D
61.0;F;146.5;56.16;37.3;89.0;152.0;26.9;23.5;12.0;118.0;B
24.0;F;166.9;70.0;23.7;55.0;102.0;39.1;23.8;47.0;186.0;A
25.0;M;168.8;63.9;26.0;81.0;131.0;38.2;20.1;49.0;215.0;B
28.0;F;161.4;55.9;35.2;77.0;128.0;22.4;18.1;30.0;152.0;B
26.0;F;162.6;57.2;32.6;69.0;116.0;26.9;20.6;43.0;128.0;A
62.0;M;175.0;68.0;22.6;75.0;123.0;46.0;2.8;33.0;194.0;C
51.0;M;172.4;75.6;23.3;83.0;120.0;47.4;22.4;55.0;211.0;A
26.0;M;180.2;103.4;24.7;70.0;128.0;67.6;16.2;46.0;219.0;B
21.0;F;160.7;56.6;29.2;71.0;110.0;25.6;30.1;32.0;157.0;B
56.0;F;149.0;46.7;23.2;95.0;157.0;25.0;28.0;41.0;186.0;A
52.0;M;165.4;74.8;27.5;86.0;143.0;38.9;18.2;56.0;217.0;B
21.0;F;169.2;64.9;35.3;68.0;125.0;29.9;22.3;39.0;174.0;B
56.0;F;157.2;60.4;36.2;70.0;118.0;24.2;14.3;16.0;132.0;C
36.0;M;169.9;67.1;17.9;98.0;149.0;48.8;16.3;59.0;228.0;B
32.0;F;163.5;55.6;25.5;68.0;108.0;28.2;24.5;36.0;183.0;A
21.0;F;159.9;49.7;25.4;76.0;116.0;23.4;24.3;11.0;145.0;D
63.0;M;165.8;63.9;20.7;82.0;123.0;26.9;14.2;28.0;160.0;B
32.0;M;168.0;69.8;21.9;88.0;127.0;50.9;26.3;68.0;248.0;A
28.0;M;175.1;75.5;13.8;71.0;126.0;44.5;11.4;66.0;247.0;B
40.0;M;169.8;84.1;25.0;93.0;132.0;57.9;19.8;40.0;220.0;B
26.0;F;158.8;56.9;27.6;60.0;93.0;21.8;20.8;37.0;172.0;B
56.0;F;156.9;49.9;35.9;67.0;128.0;12.1;1.2;20.0;118.0;D
22.0;M;168.4;69.9;15.0;51.0;118.0;44.0;16.3;61.0;234.0;A
29.0;M;172.7;72.6;27.5;82.0;121.0;35.0;3.3;40.0;213.0;D
61.0;M;171.6;86.4;28.7;70.0;142.0;35.1;-2.4;12.0;162.0;D
54.0;F;162.9;51.4;29.4;82.0;122.0;19.5;20.5;24.0;134.0;C
56.0;M;168.8;66.4;23.8;91.0;143.0;34.3;20.2;35.0;186.0;C
36.0;M;173.0;72.7;19.2;91.0;149.0;45.9;7.8;46.0;204.0;C
24.0;M;167.5;65.66;19.1;98.0;154.0;45.3;18.3;44.0;241.0;C
59.0;F;145.7;51.6;41.4;99.0;154.0;24.8;20.1;12.0;122.0;C
23.0;F;158.2;47.9;30.4;75.0;116.0;21.6;10.9;26.0;131.0;C
41.0;M;179.3;73.4;18.0;99.0;150.0;43.3;17.3;47.0;246.0;B
35.0;M;169.9;61.7;22.2;85.0;136.0;38.1;14.3;37.0;216.0;C
30.0;M;163.7;65.5;23.6;84.0;116.0;43.5;14.5;42.0;230.0;B
44.0;F;167.8;63.8;24.3;63.0;117.0;29.1;14.8;43.0;170.0;C
28.0;M;170.0;74.0;28.0;83.0;130.0;37.7;6.0;50.0;193.0;D
22.0;M;169.5;65.0;20.1;60.0;110.0;38.1;16.2;40.0;151.0;D
21.0;M;187.9;74.7;21.06;73.0;123.0;44.7;7.7;45.0;221.0;C
53.0;M;170.0;75.1;22.4;99.0;142.0;42.8;7.4;29.0;181.0;D
21.0;F;158.4;48.9;22.7;81.0;128.0;25.0;21.4;41.0;163.0;A
63.0;F;157.6;58.2;29.2;76.0;121.0;22.9;17.9;27.0;126.0;B
23.0;F;161.1;53.0;28.4;72.0;116.0;28.9;-4.4;22.0;143.0;D
62.0;M;174.7;71.9;23.6;74.0;130.0;41.2;16.6;40.0;205.0;A
32.0;M;179.7;90.0;29.3;96.0;151.0;49.7;1.5;50.0;216.0;D
38.0;M;172.3;71.6;15.5;65.0;111.0;47.4;6.2;47.0;230.0;C
24.0;M;180.3;80.2;24.7;77.0;127.0;64.3;19.0;57.0;235.0;A
23.0;M;183.3;79.4;19.8;79.0;136.0;48.9;23.0;48.0;199.0;C
63.0;M;172.4;71.66;18.9;79.0;152.0;43.1;15.8;38.0;173.0;A
27.0;M;178.8;73.38;7.8;75.0;126.0;49.6;21.5;54.0;223.0;A
59.0;F;158.2;54.34;29.6;74.0;133.0;25.1;28.6;42.0;148.0;A
36.0;F;166.5;53.7;25.9;84.0;130.0;27.4;18.9;40.0;186.0;A
34.0;F;167.5;65.8;26.0;61.0;115.0;31.0;20.5;50.0;174.0;B
23.0;M;180.4;90.5;26.8;70.0;120.0;46.1;4.5;42.0;185.0;D
21.0;F;158.8;49.7;28.4;84.0;139.0;15.2;24.2;28.0;174.0;D
24.0;M;177.0;89.9;18.9;80.0;117.0;56.8;12.7;54.0;232.0;C
55.0;M;170.0;75.5;20.6;67.0;114.0;45.4;12.5;40.0;216.0;B
43.0;M;169.0;68.6;12.4;80.0;120.0;45.7;20.2;55.0;239.0;A
22.0;F;159.3;54.0;21.3;66.0;108.0;23.0;27.2;33.0;189.0;B
46.0;M;173.9;69.4;17.8;88.0;138.0;43.9;14.5;46.0;237.0;A
24.0;M;176.0;77.5;24.7;75.0;114.0;35.6;9.3;38.0;200.0;D
56.0;F;164.0;57.6;23.2;95.0;127.0;24.4;23.6;27.0;149.0;A
28.0;M;171.4;76.8;25.1;84.0;130.0;47.8;23.0;41.0;217.0;D
53.0;F;160.4;59.3;20.3;57.0;102.0;22.5;-5.0;13.0;150.0;D
30.0;M;179.2;76.5;12.6;69.0;132.0;55.4;16.7;50.0;215.0;A
21.0;F;153.0;56.9;40.2;70.0;120.0;18.6;19.4;22.0;160.0;D
59.0;F;162.0;65.3;37.6;74.0;133.0;24.7;16.5;11.0;125.0;C
27.0;F;164.6;56.9;29.4;68.0;148.0;26.8;19.9;51.0;183.0;A
38.0;M;179.9;82.2;18.0;97.0;145.0;54.3;20.0;61.0;241.0;B
41.0;M;167.9;72.4;20.7;87.0;132.0;44.6;23.3;60.0;212.0;B
21.0;F;168.4;60.2;34.2;82.0;138.0;25.8;16.8;32.0;162.0;B
23.0;F;163.7;53.4;29.6;73.0;116.0;26.6;28.0;43.0;204.0;C
21.0;F;166.3;47.6;25.3;73.0;112.0;23.8;10.1;42.0;172.0;C
63.0;M;160.5;68.2;28.7;84.0;193.0;37.1;14.3;31.0;174.0;A
22.0;M;182.9;72.4;12.3;80.0;133.0;52.6;11.2;45.0;225.0;C
28.0;M;170.3;52.5;16.8;95.0;134.0;30.1;16.5;25.0;185.0;D
25.0;F;154.0;57.9;33.1;62.0;112.0;30.2;18.7;36.0;158.0;C
39.0;M;176.9;90.1;21.5;79.0;134.0;46.4;9.3;45.0;225.0;C
22.0;M;180.6;80.0;25.2;70.0;142.0;35.6;20.4;49.0;221.0;C
30.0;M;170.2;62.9;14.7;78.0;134.0;42.8;27.8;65.0;240.0;A
30.0;M;185.2;108.9;23.1;98.0;143.0;54.0;27.7;52.0;231.0;D
24.0;F;162.8;59.7;32.6;81.0;134.0;27.7;21.1;47.0;158.0;B
64.0;M;163.8;68.5;30.9;87.0;145.0;35.5;18.8;26.0;182.0;B
22.0;F;166.0;68.8;31.3;84.0;146.0;33.5;27.8;38.0;181.0;A
64.0;F;155.5;60.0;34.9;85.0;130.0;17.0;12.8;20.0;100.0;D
26.0;M;170.1;67.1;16.4;68.0;113.0;35.2;15.4;51.0;225.0;B
39.0;F;159.3;50.6;30.8;78.0;128.0;25.2;19.6;32.0;167.0;A
50.0;M;165.2;67.0;28.4;96.0;143.0;39.0;13.3;38.0;205.0;B
45.0;F;159.2;59.1;30.7;75.0;106.0;25.0;21.7;35.0;137.0;A
52.0;F;150.3;49.1;33.6;70.0;103.0;20.8;19.5;16.0;130.0;D
25.0;M;184.0;75.7;9.2;87.0;130.0;51.5;21.8;58.0;230.0;A
25.0;M;175.3;63.7;9.9;75.0;119.0;44.6;11.5;55.0;221.0;B
35.0;M;177.3;82.7;23.8;83.0;125.0;49.0;12.1;51.0;197.0;B
