Image;Class;Mean;Variance;Standard Deviation;Entropy;Skewness;Kurtosis;Contrast;Energy;ASM;Homogeneity;Dissimilarity;Correlation;Coarseness
Image17;1;153.175.201.416.016;107.687.800.170.566;328.158.193.819.027;0.004807546478788;28.348.341.995.126;881.487.188.690.754;102.248.415.081.748;0.058072767984896;0.003372446381428;0.399251412405423;504.904.904.904.905;0.959732931338742;7,46E-141
Image18;0;624.671.936.035.156;459.398.171.029.109;214.335.757.872.808;0.121085178908281;380.588.348.238.662;147.674.267.225.343;958.585.051.546.392;0.309860478251162;0.096013515982039;0.559772305022537;42.340.206.185.567;0.972072472365839;7,46E-141
Image19;0;545.042.419.433.594;337.879.290.910.376;183.814.931.632.437;0.112746337643048;376.510.753.045.326;145.281.323.595.575;631.847.713.097.713;0.297823227160299;0.088698674636175;0.620169304749455;262.162.162.162.162;0.973650519195914;7,46E-141
Image20;0;8.333.740.234.375;475.782.357.089.849;218.124.358.357.761;0.204901687523465;3.078.875.173.646;994.949.919.172.858;712.095.776.163.573;0.411427361443303;0.169272473744198;0.652961817949038;289.978.477.266.613;0.972399836645953;7,46E-141
Image21;0;633.952.331.542.969;293.878.380.981.809;171.428.813.500.476;0.069965443628399;318.084.933.788.769;104.394.258.571.432;928.457.098.884.186;0.231417755614859;0.053554177613819;0.52395752049829;411.735.282.801.077;0.935662144202623;7,46E-141
Image22;0;148.027.038.574.219;620.912.591.920.707;787.980.070.763.663;0.132055244026389;594.451.767.924.295;369.873.983.380.653;863.439.153.439.153;0.324792638204021;0.105490257831528;0.535061606833758;387.566.137.566.138;0.912182184762455;7,46E-141
Image23;0;450.605.773.925.781;280.829.159.424.403;167.579.580.923.334;0.133243102254785;415.313.290.435.385;17.768.020.132.398;525.545.400.943.396;0.326223047030255;0.106421476413704;0.581161770083611;301.179.245.283.019;0.97791527261095;7,46E-141
Image24;0;65.928.955.078.125;392.211.338.456.223;198.043.262.560.538;0.20487570123203;343.867.459.921.623;122.544.347.489.556;739.572.413.793.104;0.411389097023513;0.169240989149822;0.635297022381439;298.896.551.724.138;0.97101475703432;7,46E-141
Image25;0;109.642.944.335.938;619.832.925.128.565;248.964.440.257.753;0.12659830217005;272.056.296.825.148;777.572.929.815.357;916.058.997.050.148;0.317505180238994;0.100809539478596;0.5640822544282;377.174.696.820.714;0.966220222337402;7,46E-141
Image26;1;748.370.361.328.125;761.819.740.076.307;276.010.822.265.415;0.001379887976487;436.895.123.932.326;206.149.699.645.549;839.136.363.636.364;0.03094519033723;0.000957604805007;0.308661925556977;539.199.134.199.134;0.965808788787885;7,46E-141
Image27;0;111.947.631.835.938;66.186.853.088.686;813.553.028.933.493;0.394538600726663;772.665.146.314.433;617.906.240.786.044;188.909.200.968.523;0.589681787363579;0.347724610348305;0.721655748427176;433.958.837.772.397;0.8912075439539;7,46E-141
Image28;0;566.337.585.449.219;421.391.533.411.932;20.527.823.396.842;0.068329502091364;423.153.729.788.629;187.751.038.911.738;109.319.492.158.327;0.228934436637162;0.052410976278375;0.503781567640272;440.089.619.118.745;0.966815112603084;7,46E-141
Image29;0;818.742.370.605.469;556.194.827.393.652;235.837.831.442.212;0.244744381624757;334.765.889.990.514;117.052.029.350.704;789.760.244.115.083;0.453306016249624;0.205486344368104;0.655778966580484;291.543.156.059.285;0.976762481230574;7,46E-141
Image30;0;158.574.371.337.891;889.210.217.815.986;298.196.280.630.055;0.193005978690766;22.430.917.253.826;548.337.910.223.466;664.295.302.013.423;0.398237397682832;0.158593024913194;0.633401411433861;303.087.248.322.148;0.980139639065765;7,46E-141
Image31;0;4.349.365.234.375;214.853.792.848.735;146.578.918.282.519;0.093111045189544;378.810.572.178.092;148.084.794.720.825;449.145.509.145.509;0.268945626957715;0.072331750259678;0.578900949626644;273.873.873.873.874;0.969132682397764;7,46E-141
Image32;1;131.513.671.875;746.811.462.428.683;27.327.851.405.273;0.02734041438427;326.171.881.254.064;131.399.452.921.591;881.480.354.365.321;0.141823760345766;0.020113978998613;0.466941892246373;398.167.309.122.878;0.965955180012681;7,46E-141
Image33;1;148.333.282.470.703;808.652.048.882.256;284.368.079.939.056;0.039451306783101;321.695.453.019.285;128.743.748.928.923;101.585.129.068.462;0.17155917446889;0.029432550344447;0.49500182070944;387.076.318.742.985;0.963876610985663;7,46E-141
Image34;1;249.972.534.179.687;169.774.758.339.931;130.297.643.240.364;0.006372560008615;625.817.276.269.105;467.985.089.565.932;195.514.320.785.597;0.066628646757159;0.00443937656869;0.424634582880946;54.537.643.207.856;0.793971674541341;7,46E-141
Image35;0;201.408.386.230.469;691.158.136.736.125;831.359.210.411.555;0.135643967735047;44.987.598.846.542;206.195.679.827.095;206.476.702.508.961;0.32786112647956;0.107492918256446;0.665662419985962;165.232.974.910.394;0.969934358022091;7,46E-141
Image36;0;247.067.260.742.187;803.936.911.204.627;89.662.529.029.948;0.272505186758596;39.651.965.840.965;160.748.925.876.237;132.064.096.817.571;0.479623996103731;0.230039177638512;0.766913835277821;114.679.515.912.147;0.980842234751223;7,46E-141
Image37;1;496.638.488.769.531;208.847.720.843.647;144.515.646.503.639;0.019947374971709;348.398.972.665.121;132.619.039.161.771;295.013.513.513.514;0.119390916804168;0.01425419101534;0.555104652143579;215.540.540.540.541;0.956588782592704;7,46E-141
Image38;0;30.794.677.734.375;119.985.521.340.586;109.537.902.728.045;0.144366448301718;386.267.468.078.484;151.456.064.793.912;350.960.045.990.227;0.338391442891336;0.11450876862208;0.728910857724633;165.651.049.152.055;0.961676827767483;7,46E-141
Image39;0;773.138.427.734.375;194.859.813.558.394;139.592.196.615.138;0.078340827969124;222.860.131.750.742;52.163.564.973.598;282.470.708.679.331;0.242900529666135;0.059000667312089;0.66896550431942;177.658.969.400.523;0.94976758778731;7,46E-141
Image40;0;627.622.985.839.844;174.692.703.293.485;132.171.367.282.587;0.085651506119839;248.553.619.908.899;63.585.888.523.572;295.524.525.599.714;0.254149476870291;0.064591956593443;0.696600191722596;170.225.563.909.774;0.947647912622243;7,46E-141
Image41;0;394.354.248.046.875;122.208.377.551.594;110.547.898.013.302;0.093945496966986;314.864.123.293.881;100.834.233.274.635;341.087.965.461.414;0.267539603357746;0.07157743936482;0.672447729477806;196.006.475.984.889;0.941313634736969;7,46E-141
Image42;0;111.787.414.550.781;399.919.671.954.202;632.392.023.948.912;0.203139334428764;595.968.401.612.157;360.087.154.247.339;645.859.619.210.003;0.407704855359846;0.166223249083993;0.705089674839605;273.543.620.346.689;0.909452751379984;7,46E-141
Image43;0;775.816.345.214.844;543.174.167.438.391;233.060.972.159.302;0.226579735728143;336.811.594.528.375;116.800.522.109.219;920.108.391.608.392;0.434380725185505;0.188686614412685;0.677491559385879;278.181.818.181.818;0.973938605181652;7,46E-141
Image44;0;121.353.302.001.953;78.002.527.772.674;27.928.932.627.774;0.17529884258129;272.086.649.526.086;777.574.884.549.015;93.941.475.826.972;0.378112415889489;0.142968999049786;0.622378493364401;332.897.128.316.976;0.973854513083687;7,46E-141
Image45;0;175.005.798.339.844;103.195.620.071.198;321.240.750.950.432;0.118040038926235;222.385.719.284.992;52.671.395.741.772;803.682.653.061.224;0.305721599800793;0.093465696584756;0.578650030305984;319.663.265.306.122;0.977246371410414;7,46E-141
Image46;0;201.002.197.265.625;107.982.773.970.481;328.607.324.888.659;0.116310868748084;201.428.703.299.072;444.661.785.890.888;907.512.477.016.023;0.303220101135258;0.091942429732476;0.584807662516161;328.587.689.344.191;0.973051881838064;7,46E-141
Image47;0;362.068.176.269.531;185.580.754.675.429;136.228.027.466.975;0.138281289379356;426.570.792.942.575;191.506.099.890.204;101.763.749.260.792;0.332935577057059;0.110846098470317;0.573733042973514;363.305.736.250.739;0.937041702772759;7,46E-141
Image48;0;586.619.567.871.094;553.501.078.612.783;235.266.036.353.058;0.110860488984779;437.724.842.928.975;195.777.279.374.416;13.154.364.862.402;0.295623249438933;0.087393105608834;0.551376663600764;416.402.405.686.167;0.973575837614956;7,46E-141
Image49;0;666.181.945.800.781;583.006.218.134.319;241.455.216.993.611;0.182475206703187;397.440.513.711.336;1.611.979.613.952;117.919.040.084.388;0.386306044317196;0.149232359875999;0.626865725147891;332.041.139.240.506;0.975897008770177;7,46E-141
Image50;0;98.717.041.015.625;759.842.051.116.145;275.652.326.512.247;0.185190459252997;313.876.165.006.358;101.354.971.662.519;14.465.952.745.198;0.38944619362694;0.151668337730512;0.632188125295624;366.207.717.151.113;0.96706539302052;7,46E-141
Image51;0;163.689.575.195.313;109.815.582.444.824;331.384.342.485.918;0.094737023748183;240.952.447.878.215;603.808.080.566.017;133.239.301.695.343;0.271793707274503;0.073871819314018;0.553040982987988;387.949.832.986.702;0.965085958723559;7,46E-141
Image52;1;166.468.505.859.375;140.822.812.763.756;375.263.657.664.523;0.014825333238118;28.085.765.549.979;840.446.677.159.823;137.790.045.248.869;0.103487377949254;0.010709637394812;0.417305882893466;468.778.280.542.986;0.959173170497998;7,46E-141
Image53;1;157.208.709.716.797;148.560.937.385.742;385.436.035.401.131;0.007471799675623;303.929.062.400.299;977.772.930.339.677;15.432.618.949.959;0.07292603900708;0.005318207165262;0.394605680355781;537.664.068.908.942;0.960935943022925;7,46E-141
Image54;1;13.524.169.921.875;135.727.641.877.134;368.412.325.902.831;0.005722021357245;328.146.706.311.947;113.328.490.505.844;116.973.063.973.064;0.06365919747096;0.004052493422647;0.362715044021226;513.368.250.405.287;0.967406542035708;7,46E-141
Image55;1;607.012.939.453.125;791.115.048.393.659;281.267.674.714.614;0.022536603809512;498.815.695.398.602;25.513.992.572.599;192.837.928.921.569;0.128451235530881;0.01649971990941;0.398920823436038;506.158.088.235.294;0.96403126368404;7,46E-141
Image56;0;387.516.784.667.969;214.617.617.902.372;1.464.983.337.456;0.137330892000274;415.620.105.665.617;176.176.798.543.563;430.590.756.045.301;0.330616435064794;0.109307227134953;0.631194587986717;257.514.539.332.721;0.976799305661394;7,46E-141
Image57;1;159.384.155.273.438;177.467.018.240.461;133.216.747.535.909;0.003328257790968;900.738.599.948.516;857.318.105.753.675;193.991.919.191.919;0.048162861823766;0.002319661259055;0.238200725383823;716.969.696.969.697;0.915971572065443;7,46E-141
Image58;1;376.316.833.496.094;379.807.307.781.933;194.886.456.117.898;0.051324941386309;564.657.399.353.878;332.080.748.180.967;19.915.668.202.765;0.196966449633289;0.038795782281143;0.452505659237495;507.768.268.597.762;0.955755150529682;7,46E-141
Image59;1;489.720.153.808.594;539.613.814.522.089;232.295.892.026.116;0.004555595265314;519.714.161.875.378;282.033.971.087.133;119.672.027.972.028;0.056374003454082;0.003178028265441;0.359761689563848;492.377.622.377.622;0.94375930542559;7,46E-141
Image60;1;892.808.532.714.844;48.482.798.864.301;220.188.098.825.302;0.00381808156022;323.399.140.742.972;117.081.754.512.558;379.827.377.680.044;0.051531852127102;0.00265553178365;0.392407471302687;357.570.093.457.944;0.959516382427033;7,46E-141
Image61;0;862.541.198.730.469;325.230.913.074.977;180.341.596.165.437;0.093592808345128;2.533.505.695.069;674.189.430.633.383;523.961.657.231.086;0.269690311180933;0.072732863944868;0.580328795767809;2.891.276.376.737;0.956411892655139;7,46E-141
Image62;0;283.543.395.996.094;128.599.377.553.068;113.401.665.575.541;0.164158963866579;437.567.250.251.779;195.822.440.047.962;886.043.142.812.155;0.36431877813201;0.132728172099601;0.625283851502753;365.170.839.237.915;0.929534851519207;7,46E-141
Image63;0;436.212.158.203.125;306.511.820.941.813;17.507.479.000.182;0.090658768792665;456.104.749.620.255;214.894.184.354.311;869.114.183.307.732;0.265823976810161;0.070662386647169;0.518711667263221;409.318.996.415.771;0.970117549030269;7,46E-141
Image64;0;62.646.484.375;417.032.268.241.746;204.213.679.326.765;0.239618946902815;371.681.950.805.616;144.321.123.764.186;634.201.869.158.879;0.448130339235489;0.200820800943314;0.652284782981823;280.336.448.598.131;0.979181073756756;7,46E-141
Image65;0;173.100.128.173.828;939.756.042.454.856;306.554.406.664.601;0.063837245254144;228.053.240.304.235;567.044.396.416.358;984.688.317.349.608;0.220849712584204;0.048774595548526;0.507562456546325;410.952.484.742.807;0.964136018939991;7,46E-141
Image66;0;10.197.021.484.375;554.527.309.286.004;235.484.035.400.705;0.074026976866869;27.828.794.982.616;814.441.231.785.633;148.889.929.742.389;0.238836402885418;0.057042827343246;0.503965633808153;488.009.367.681.499;0.93071088359403;7,46E-141
Image67;0;456.144.714.355.469;23.915.133.254.138;154.645.185.033.799;0.08467955017325;393.795.197.777.333;163.146.805.144.109;161.759.139.784.946;0.256514230650217;0.065799550526073;0.499679855336728;494.005.376.344.086;0.903444610999348;7,46E-141
Image68;0;834.445.190.429.688;85.196.921.821.077;29.188.511.750.529;0.111649652739368;379.570.710.824.673;145.805.698.406.838;219.009.411.764.706;0.296585947881839;0.087963224480969;0.590309047173405;422.411.764.705.882;0.963683289543344;7,46E-141
Image69;1;125.924.682.617.188;172.207.813.747.778;131.227.974.817.787;0.036208326107491;115.603.364.675.098;140.151.953.236.661;118.785.111.111.111;0.164284832449132;0.02698950617284;0.360216152284884;160.066.666.666.667;0.869998180208487;7,46E-141
Image70;0;329.743.347.167.969;263.077.454.646.884;512.910.766.748.841;0.058575116135999;199.006.411.677.939;426.351.044.659.643;386.946.379.828.823;0.211035899500319;0.044536150877909;0.500845070946782;63.792.736.525.561;0.944384262188858;7,46E-141
Image71;0;3.038.330.078.125;262.574.532.426.355;162.041.517.033.862;0.196635336886011;586.580.143.307.821;360.534.129.710.145;339.577.395.577.396;0.402620956724874;0.162103634794053;0.544194221059033;729.385.749.385.749;0.920000929724841;7,46E-141
Image72;0;49.632.568.359.375;259.854.007.679.885;161.199.878.312.574;0.121535000742724;36.487.195.452.021;137.252.503.806.199;58.172.651.254.304;0.310298058691139;0.09628488522749;0.60197177729818;311.534.677.816.035;0.966429903278694;7,46E-141
Image73;1;120.861.511.230.469;880.749.435.360.141;296.774.229.905.519;0.003763305558726;348.558.495.183.814;143.654.887.586.911;876.533.171.521.036;0.051254171024717;0.002626990047431;0.40206681427201;486.387.540.453.074;0.96521639393413;7,46E-141
Image74;0;145.516.510.009.766;560.882.713.491.333;236.829.625.150.937;0.05800513766428;21.183.633.810.699;489.046.023.432.236;923.943.856.193.056;0.209475064095614;0.043879802477862;0.564590199919747;36.798.818.025.117;0.939049619285469;7,46E-141
Image75;0;128.381.652.832.031;540.581.637.856.695;23.250.411.563.168;0.06910324843044;226.016.437.190.384;543.097.717.629.355;754.795.081.967.213;0.229672063330426;0.052749256674455;0.58308817037215;332.559.198.542.805;0.952015098095494;7,46E-141
Image76;0;588.569.641.113.281;297.079.324.256.961;172.359.892.160.839;0.10511890062687;330.588.578.823.767;112.260.107.814.204;919.625.541.125.541;0.286899475114628;0.082311308821049;0.601038983500402;386.623.376.623.377;0.943978852942583;7,46E-141
Image77;0;750.239.562.988.281;874.950.739.511.452;295.795.662.495.489;0.130429256564744;441.194.508.758.951;200.797.246.016.282;187.466.494.845.361;0.322751137935366;0.104168297038573;0.538547167763833;510.921.391.752.577;0.977112487227464;7,46E-141
Image78;1;708.120.727.539.063;112.652.607.231.562;335.637.612.957.133;0.002883479575335;513.620.260.693.137;269.467.367.844.273;202.814.687.714.482;0.044859013254638;0.00201233107018;0.297881149232222;745.710.363.761.153;0.960127269150201;7,46E-141
Image79;1;131.936.950.683.594;192.405.756.025.084;438.640.805.243.977;0.001732271670782;373.934.344.058.089;143.195.897.836.364;152.267.903.525.046;0.034703797456739;0.001204353557918;0.315442074257584;64.126.159.554.731;0.961077300099533;7,46E-141
Image80;1;20.890.625;238.471.486.517.042;488.335.424.188.172;0.004747905525441;284.501.818.698.328;838.301.819.217.547;190.643.918.105.179;0.057847908959781;0.003346380571019;0.349334284820721;682.737.856.282.617;0.957097265428026;7,46E-141
Image81;1;0.770980834960938;164.805.324.899.725;128.376.526.242.038;0.008114281372905;1.692.571.391.977;289.741.800.562.743;138.733.031.674.208;0.075377064474922;0.005681701848857;0.183045519605621;855.203.619.909.502;0.878611129274832;7,46E-141
Image82;1;65.665.283.203.125;897.336.605.110.558;299.555.771.954.165;0.005889752781833;479.458.364.554.608;230.952.253.669.258;456.415.960.451.978;0.064029374545483;0.004099760804686;0.384279998871669;375.670.903.954.802;0.763260110462459;7,46E-141
Image83;0;244.125.366.210.937;222.627.660.865.283;149.207.124.784.738;0.165151629367912;654.569.950.900.997;442.135.598.275.169;382.391.994.478.951;0.366324029166766;0.134193294344973;0.555338410008569;716.425.120.772.947;0.915031269619251;7,46E-141
Image84;0;116.481.323.242.188;128.316.441.990.292;358.212.844.535.609;0.151002320093191;341.607.913.761.303;119.075.165.469.941;228.956.233.279.829;0.348903505478975;0.121733656135518;0.592964908797714;458.277.153.558.053;0.972023412083694;7,46E-141
Image85;0;153.454.895.019.531;156.147.349.538.769;395.154.842.484.271;0.193820360423021;293.595.920.130.602;891.427.252.864.369;21.572.669.276.497;0.399271458539046;0.159417697603897;0.63020456630492;419.631.723.937.944;0.973713300887458;7,46E-141
Image86;1;496.481.323.242.188;818.551.999.032.568;286.103.477.614.755;0.002107337713059;608.660.286.374.347;379.483.433.558.599;943.016.129.032.258;0.03825335879236;0.001463319458897;0.303727862015831;524.139.784.946.237;0.945807010597474;7,46E-141
Image87;1;100.203.399.658.203;185.126.106.691.808;430.262.834.430.082;0.008837980178093;467.473.525.160.542;223.917.853.867.518;163.488.611.111.111;0.079421859649113;0.006307831790123;0.363390745025035;623.638.888.888.889;0.981593547948185;7,46E-141
Image88;1;961.149.597.167.969;158.809.041.026.608;398.508.520.644.927;0.008884880749689;451.674.949.812.841;209.422.023.077.196;254.264.970.853.206;0.079630684997398;0.006341045993155;0.369121986903904;586.592.474.827.769;0.960357144476643;7,46E-141
Image89;1;0.589263916015625;903.257.164.967.821;950.398.424.329.408;0.005255876046276;165.084.440.423.429;277.610.356.275.399;886.050.420.168.067;0.060451657856883;0.003654402937646;0.195535669878959;673.109.243.697.479;0.900001617844039;7,46E-141
Image90;0;621.632.385.253.906;414.427.727.809.799;203.574.980.734.323;0.278168187310914;374.809.016.092.509;146.660.049.386.018;506.468.883.205.456;0.486218537872206;0.236408466570586;0.688357813816714;241.705.029.838.022;0.98314029783759;7,46E-141
Image91;0;128.814.849.853.516;752.158.324.679.517;274.255.050.031.812;0.125926615734098;257.027.937.950.026;696.730.520.951.227;10.312.769.924.812;0.316597979683135;0.100234280739443;0.579173371071344;368.866.165.413.534;0.966244075035198;7,46E-141
Image92;0;179.932.708.740.234;980.677.931.167.507;313.157.776.714.471;0.073877495165137;221.990.798.720.001;526.775.869.261.053;116.174.937.343.358;0.238428654559766;0.05684822331518;0.530247304281854;418.586.466.165.414;0.962008263039652;7,46E-141
Image93;1;615.017.700.195.313;472.113.015.652.129;217.281.618.102.436;0.005802262994358;404.697.831.305.633;172.014.683.758.761;882.057.731.958.763;0.063601480032324;0.004045148262302;0.39920744965047;490.680.412.371.134;0.923975729872788;7,46E-141
Image94;1;156.077.575.683.594;170.386.938.010.432;130.532.347.719.036;0.006968697305717;877.830.396.647.078;789.645.112.969.009;101.526.915.113.872;0.069946670577197;0.004892536724835;0.31741329613669;572.567.287.784.679;0.95268176755221;7,46E-141
Image95;1;469.851.684.570.313;499.872.863.130.886;223.578.367.274.405;0.046110365516508;512.672.454.358.644;271.233.400.836.334;128.316.308.243.728;0.186252201163954;0.034689882438418;0.461630755778895;408.154.121.863.799;0.971592454686953;7,46E-141
Image96;1;254.917.907.714.844;271.717.231.928.969;164.838.476.069.445;0.077305046290478;679.332.932.161.967;473.164.945.705.733;259.599.703.117.269;0.244121743532501;0.059595425665348;0.520617227609198;468.134.586.838.199;0.947271754759781;7,46E-141
Image97;0;343.038.940.429.687;252.791.975.253.725;158.994.331.739.759;0.140147936675546;489.993.512.089.921;242.742.612.023.128;223.885.936.784.242;0.333847094157413;0.111453882277349;0.629810602683987;461.154.374.713.697;0.924588419137184;7,46E-141
Image98;0;359.840.393.066.406;262.147.545.112.856;161.909.710.985.122;0.103148047301446;505.837.590.738.811;264.978.824.930.706;60.411.373.260.738;0.28434564100055;0.080852443556014;0.550552354259203;366.848.154.869.933;0.98028480429297;7,46E-141
Image99;0;547.348.022.460.938;384.999.365.072.031;196.214.006.908.791;0.238675624360679;399.664.075.215.521;163.891.280.727.408;513.065.138.092.757;0.447084151105943;0.199884238170121;0.653846524576443;275.330.901.511.204;0.984076033078241;7,46E-141
Image100;0;895.579.528.808.594;586.006.239.007.311;242.075.657.389.856;0.153840525371673;313.437.163.933.328;101.741.197.408.596;748.543.674.350.474;0.352435022460505;0.124210445056737;0.605707722369446;3.437.360.265.207;0.977219029960286;7,46E-141
Image101;0;135.368.499.755.859;811.051.773.350.564;284.789.707.214.036;0.092254538129414;249.640.387.835.391;647.090.963.937.133;776.366.260.002.624;0.268033471237242;0.071841941703485;0.560537848643133;345.677.554.768.464;0.973966402780858;7,46E-141
Image102;0;419.308.471.679.688;285.709.252.367.579;169.029.362.055.111;0.279734522975948;466.508.449.236.831;226.180.215.666.299;523.764.022.435.898;0.487713710067724;0.237864662988024;0.683400870613367;274.439.102.564.102;0.980323407533856;7,46E-141
Image103;0;114.803.619.384.766;670.503.954.319.595;258.940.911.081.968;0.099796042275117;278.001.968.856.942;812.432.928.665.242;555.825.984.714.874;0.279725353083049;0.078246273157437;0.561924262065528;327.912.992.357.437;0.981591537980736;7,46E-141
Image104;0;140.878.143.310.547;785.328.040.869.478;280.237.049.811.312;0.149782780984831;243.201.415.575.709;636.128.282.415.135;56.209.219.858.156;0.347515948019417;0.120767334127834;0.582432546134325;334.425.915.276.979;0.981933185624855;7,46E-141
Image105;0;561.288.452.148.438;348.800.487.792.531;186.762.011.070.916;0.230126765909308;371.911.453.732.509;142.386.462.366.955;597.534.996.956.786;0.43811384210268;0.191943738641972;0.671303900720937;2.598.701.562.183;0.977254763531498;7,46E-141
Image106;0;877.899.169.921.875;498.785.725.375.139;223.335.112.639.087;0.178183263387095;296.760.664.064.424;919.334.587.349.188;697.542.456.140.351;0.381468507510413;0.145518222222222;0.617498791049967;311.789.473.684.211;0.973068204580862;7,46E-141
Image107;0;133.475.646.972.656;645.683.570.505.528;254.103.044.158.374;0.099710166310762;234.097.097.175.109;583.281.608.113.663;555.514.648.977.335;0.279456366186922;0.078095860602399;0.554802229949332;312.117.191.818.684;0.975028573058091;7,46E-141
Image108;0;697.456.359.863.281;344.252.879.184.748;185.540.529.045.475;0.105128076507563;309.639.611.106.082;990.155.697.514.455;105.057.929.554.801;0.287295894874456;0.082538931211714;0.539766825119171;434.131.950.652.601;0.939482776361159;7,46E-141
Image109;0;277.485.656.738.281;150.428.666.930.728;122.649.364.829.472;0.134482366726697;490.670.864.310.255;24.860.443.755.991;133.503.953.712.633;0.327909776786788;0.107524821712361;0.560463878365499;482.314.368.370.299;0.922205816914075;7,46E-141
Image110;0;701.217.651.367.188;384.854.460.305.239;196.177.078.249.534;0.226728323100769;325.803.747.721.882;11.218.535.590.148;668.884.297.520.661;0.43474400106827;0.189002346464848;0.649905446641835;286.171.782.762.692;0.970590953920485;7,46E-141
Image111;0;125.951.385.498.047;64.136.417.885.953;25.325.168.881.165;0.11793140306921;245.778.385.178.145;644.077.109.801.996;769.125.714.285.714;0.305637170514321;0.09341408;0.561067447056939;348.388.571.428.571;0.968098188865773;7,46E-141
Image112;0;150.141.448.974.609;772.443.762.254.516;277.928.725.081.542;0.150110889744173;22.570.872.208.693;553.588.853.883.607;696.318.085.855.032;0.347745978991889;0.120927265905027;0.588217967106084;336.833.216.045.039;0.975187761468754;7,46E-141
